SalePrice,OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,GarageCars,LotArea,GarageArea,YearBuilt,Fence,PoolArea,Foundation,LandContour,Neighborhood,Heating,RoofStyle,PoolQC
200624,6.0,2515,2035.0,0.0,2.0,32668.0,484.0,1957.0,NO-FENCE,0.0,PConc,Lvl,Crawfor,GasA,Hip,0.0
133000,6.0,1578,806.0,620.0,1.0,9490.0,240.0,1941.0,MnPrv,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
110000,5.0,1203,709.0,224.0,1.0,7015.0,352.0,,NO-FENCE,0.0,CBlock,Bnk,BrkSide,GasA,Gable,0.0
192000,7.0,2022,1160.0,866.0,2.0,10005.0,505.0,1977.0,NO-FENCE,0.0,,Lvl,ClearCr,GasA,Hip,0.0
88000,6.0,1092,525.0,567.0,1.0,1680.0,264.0,1971.0,NO-FENCE,0.0,CBlock,Lvl,BrDale,GasA,Gable,0.0
85000,5.0,1022,1022.0,0.0,1.0,7200.0,280.0,1910.0,NO-FENCE,0.0,BrkTil,Lvl,OldTown,GasW,Hip,0.0
282922,8.0,1464,1485.0,0.0,3.0,15256.0,754.0,2007.0,NO-FENCE,0.0,PConc,Lvl,Somerst,GasA,Gable,0.0
141000,6.0,1375,780.0,595.0,1.0,9000.0,544.0,1937.0,NO-FENCE,0.0,PConc,Bnk,IDOTRR,GasA,Gable,0.0
745000,10.0,4476,2396.0,2065.0,3.0,15623.0,813.0,1996.0,MnPrv,555.0,PConc,Lvl,NoRidge,GasA,Hip,4.0
148800,7.0,1102,551.0,551.0,2.0,5105.0,480.0,2004.0,NO-FENCE,0.0,PConc,Lvl,Somerst,GasA,Gable,0.0
208900,7.0,1352,1352.0,0.0,2.0,4230.0,466.0,2006.0,NO-FENCE,0.0,PConc,Lvl,Somerst,GasA,Gable,0.0
136905,5.0,1680,1680.0,0.0,2.0,11500.0,528.0,1976.0,NO-FENCE,0.0,CBlock,Lvl,NWAmes,GasA,Gable,0.0
225000,7.0,1983,978.0,978.0,2.0,10762.0,490.0,1999.0,NO-FENCE,0.0,PConc,Lvl,Gilbert,GasA,Gable,0.0
123000,5.0,900,864.0,0.0,1.0,7838.0,288.0,1967.0,MnWw,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
119200,6.0,1082,1082.0,0.0,1.0,11664.0,240.0,1948.0,NO-FENCE,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
145000,5.0,1314,1314.0,0.0,1.0,8400.0,294.0,1957.0,NO-FENCE,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
190000,7.0,1923,750.0,862.0,2.0,10186.0,564.0,1992.0,NO-FENCE,0.0,PConc,Lvl,NoRidge,GasA,Gable,0.0
123600,4.0,990,990.0,0.0,0.0,8070.0,0.0,1994.0,NO-FENCE,0.0,PConc,Lvl,CollgCr,GasA,Gable,0.0
149350,5.0,1228,1228.0,0.0,1.0,8544.0,271.0,1966.0,MnPrv,0.0,CBlock,Lvl,Sawyer,GasA,Gable,0.0
155000,7.0,1826,910.0,910.0,1.0,2500.0,164.0,1915.0,NO-FENCE,0.0,PConc,Lvl,OldTown,GasA,Gable,0.0
166000,5.0,1385,910.0,475.0,2.0,8520.0,720.0,1952.0,MnPrv,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
144500,6.0,848,848.0,0.0,2.0,4438.0,420.0,2004.0,NO-FENCE,0.0,PConc,Lvl,CollgCr,GasA,Gable,0.0
110000,5.0,816,816.0,0.0,2.0,8472.0,516.0,1963.0,NO-FENCE,0.0,CBlock,Bnk,IDOTRR,GasA,Gable,0.0
174000,6.0,1481,702.0,779.0,2.0,8125.0,343.0,1994.0,NO-FENCE,0.0,PConc,Lvl,Gilbert,GasA,Gable,0.0
185000,6.0,1876,901.0,933.0,2.0,9120.0,540.0,1974.0,NO-FENCE,0.0,CBlock,Lvl,NWAmes,GasA,Hip,0.0
168000,8.0,1742,916.0,826.0,2.0,17671.0,424.0,1882.0,NO-FENCE,0.0,BrkTil,Lvl,OldTown,GasA,Gable,0.0
177500,6.0,1573,756.0,804.0,2.0,2117.0,440.0,2000.0,NO-FENCE,0.0,PConc,Lvl,Somerst,GasA,Gable,0.0
84500,4.0,630,630.0,0.0,0.0,1936.0,0.0,1970.0,MnPrv,0.0,CBlock,Lvl,MeadowV,GasA,Gable,0.0
320000,9.0,1698,1698.0,0.0,3.0,13286.0,768.0,2007.0,NO-FENCE,0.0,PConc,Lvl,Edwards,GasA,Hip,0.0
118500,5.0,1216,832.0,384.0,1.0,8480.0,336.0,1947.0,NO-FENCE,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
110000,5.0,1776,1584.0,0.0,3.0,11475.0,888.0,1958.0,NO-FENCE,0.0,CBlock,Lvl,NAmes,GasA,Gable,0.0
213000,7.0,1775,740.0,769.0,2.0,9317.0,425.0,1993.0,NO-FENCE,0.0,PConc,Lvl,SawyerW,GasA,Gable,0.0
156000,6.0,912,888.0,0.0,2.0,7540.0,470.0,1978.0,MnPrv,0.0,CBlock,Lvl,Mitchel,GasA,Gable,0.0
250000,8.0,2198,1145.0,1053.0,3.0,14260.0,836.0,2000.0,NO-FENCE,0.0,PConc,Lvl,NoRidge,GasA,Gable,0.0
372500,8.0,2046,2046.0,0.0,3.0,11844.0,834.0,2008.0,NO-FENCE,0.0,PConc,Lvl,StoneBr,GasA,Hip,0.0
175000,7.0,1446,729.0,717.0,2.0,21872.0,406.0,1996.0,NO-FENCE,0.0,PConc,HLS,Gilbert,GasA,Gable,0.0
277500,9.0,1561,1561.0,0.0,2.0,7313.0,556.0,2005.0,NO-FENCE,0.0,PConc,Lvl,NridgHt,GasA,Hip,0.0
112500,5.0,882,882.0,0.0,2.0,7700.0,461.0,1972.0,MnPrv,0.0,CBlock,Lvl,CollgCr,GasA,Gable,0.0
263000,7.0,2094,912.0,1182.0,2.0,9375.0,615.0,2003.0,NO-FENCE,0.0,PConc,Lvl,Somerst,GasA,Gable,0.0
325000,8.0,2622,1463.0,1122.0,2.0,12256.0,712.0,1994.0,NO-FENCE,0.0,PConc,Lvl,NoRidge,GasA,Gable,0.0
243000,6.0,2158,1202.0,0.0,2.0,12615.0,576.0,1950.0,MnPrv,0.0,CBlock,Lvl,Edwards,GasA,Gable,0.0
130000,5.0,1360,384.0,0.0,2.0,7134.0,572.0,1955.0,MnPrv,0.0,CBlock,Bnk,NAmes,GasA,Gable,0.0
164990,7.0,1310,1310.0,0.0,2.0,8767.0,400.0,2005.0,NO-FENCE,0.0,PConc,Lvl,CollgCr,GasA,Gable,0.0
280000,8.0,1836,1836.0,0.0,3.0,11362.0,862.0,2004.0,NO-FENCE,0.0,PConc,Lvl,NridgHt,GasA,Gable,0.0
