X,Y,month,day,fuel_humidity,fuel_available,soil_humidity,drought,propagation_speed,temp,air_humidity,wind_speed,rain,area
7,5,mar,fri,86.2,133.35831741324648,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
7,4,oct,tue,90.6,185.06426801248605,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0
7,4,oct,sat,90.6,160.91111124588144,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0
8,6,mar,fri,91.7,40.41386681862834,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
8,6,mar,sun,89.3,37.13534459015818,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
8,6,aug,sun,92.3,208.6990335907542,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
8,6,aug,mon,92.3,198.14284384346956,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
8,6,aug,mon,91.5,177.36650650212943,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
8,6,sep,tue,91.0,273.418489566683,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
7,5,sep,sat,92.5,221.61831692625796,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
7,5,sep,sat,92.5,238.63890930781452,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
7,5,sep,sat,92.8,210.27195057041774,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
6,5,aug,fri,63.5,214.7637613745293,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
6,5,sep,mon,90.9,233.33285767460941,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
6,5,sep,wed,92.9,238.1871087641163,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
6,5,sep,fri,93.3,194.82022524337486,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0
5,5,mar,sat,91.7,0.0,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
8,5,oct,mon,84.9,176.1080819130873,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
6,4,mar,wed,89.2,0.0,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
6,4,apr,sat,86.3,116.22731482713463,27.4,97.1,5.1,9.3,44,,0.0,0.0
6,4,sep,tue,91.0,264.32969440696587,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
5,4,sep,mon,91.8,248.76028297851792,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0
7,4,jun,sun,94.3,87.5506315761958,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
7,4,aug,sat,90.2,205.93514956087876,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0
7,4,aug,sat,93.5,165.68978110995388,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
7,4,aug,sun,91.4,166.02746401440905,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
7,4,sep,fri,92.4,252.80915513215655,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
7,4,sep,mon,90.9,212.3573209623664,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
6,3,sep,sat,93.4,192.55101342549048,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
6,3,sep,sun,93.5,271.95348092036505,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
6,3,sep,fri,94.3,176.23421200437946,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
6,3,sep,mon,88.6,271.25858910499335,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
6,3,sep,fri,88.6,215.85080858676312,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0
6,3,sep,sun,91.7,242.98988603636548,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
6,3,sep,mon,91.8,204.35180199931563,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
6,3,sep,tue,90.3,217.91304323006025,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0
6,3,oct,tue,90.6,145.4587740868499,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0
7,4,oct,fri,90.0,275.5753172498475,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
7,3,oct,sat,90.6,197.01496280638239,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
4,4,mar,tue,88.1,75.44402468665896,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
4,4,jul,tue,79.5,110.61641103757172,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
4,4,aug,sat,90.2,206.85112395280603,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0
4,4,aug,tue,94.8,166.4553281426497,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
4,4,sep,sat,92.5,252.93093970846334,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0
4,4,sep,wed,90.1,282.800381289942,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
5,6,sep,wed,94.3,206.2719347821543,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
5,6,sep,mon,90.9,263.96440221020475,126.5,686.5,7.0,14.7,70,,0.0,0.0
6,6,jul,mon,94.2,184.87677598142864,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0
4,4,mar,mon,87.2,99.82412478340623,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0
4,4,mar,mon,87.6,21.884518522653863,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
4,4,sep,thu,92.9,256.3330105939329,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0
4,3,aug,sun,90.2,246.6511891685859,99.6,631.2,,21.5,34,2.2,0.0,0.0
4,3,aug,wed,92.1,197.6309423566214,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
4,3,aug,wed,92.1,206.18618187099585,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
4,3,aug,thu,91.7,232.04190998749382,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0
4,3,sep,thu,92.9,250.31980143384516,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
4,3,sep,tue,90.3,286.31056969487634,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
4,3,oct,sun,92.6,206.11154074672112,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0
2,2,feb,mon,84.0,7.175445166748428,,34.0,2.1,13.9,40,5.4,0.0,0.0
2,2,feb,fri,86.6,22.07760066505318,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0
2,2,mar,sun,89.3,113.02029552136608,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
2,2,mar,sun,89.3,24.579407824594995,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0
2,2,aug,thu,93.0,105.74253083910584,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0
2,2,aug,sun,90.2,193.55155424187183,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
2,2,aug,mon,91.1,206.77755074913597,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0
2,2,aug,thu,91.7,216.74127128181297,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0
